camera,colonyCam,colour,assignmentRate,inNestFrames,outNestFrames,totalFrames,outNestRatio
cam10,1,BG,0.957701967592593,1621387,33522,1654909,0.0202560986737035
cam10,1,BO,0.961952546296296,1606316,55938,1662254,0.0336518967618667
cam10,1,GB,0.955884837962963,1612834,38935,1651769,0.0235716979795601
cam10,1,GP,0.954266782407407,1618652,30321,1648973,0.0183878086542351
cam10,1,OB,0.956753472222222,1611746,41524,1653270,0.0251162846963896
cam10,1,OG,0.954389467592593,1614104,35081,1649185,0.0212717190612333
cam10,1,OP,0.957802662037037,1609959,45124,1655083,0.0272638894846965
cam10,1,PB,0.973535300925926,1431015,251254,1682269,0.149354235262018
cam10,1,PG,0.956850115740741,1617401,36036,1653437,0.0217946011852886
cam10,1,PO,0.957059027777778,1615607,38191,1653798,0.0230929049376042
cam10,2,BG,0.981617476851852,1695051,1184,1696235,0.000698016489460482
cam10,2,BO,0.979931712962963,1692721,601,1693322,0.000354923635315669
cam10,2,GB,0.980226851851852,1693536,296,1693832,0.000174751687298386
cam10,2,GP,0.980461226851852,1693253,984,1694237,0.000580792415700991
cam10,2,OB,0.981685763888889,1695767,586,1696353,0.000345446967700709
cam10,2,OG,0.985249421296296,1663639,38872,1702511,0.0228321579126361
cam10,2,OP,0.982362847222222,1697337,186,1697523,0.0001095714167054
cam10,2,PB,0.98222974537037,1697293,0,1697293,0
cam10,2,PG,0.981271990740741,1694956,682,1695638,0.000402208490255585
cam10,2,PO,0.980934027777778,1694430,624,1695054,0.00036812986488926
cam10,3,BG,0.990157986111111,1710993,0,1710993,0
cam10,3,BO,0.990006365740741,1710714,17,1710731,9.93727242915455e-06
cam10,3,GB,0.990121527777778,1710930,0,1710930,0
cam10,3,GP,0.990102430555556,1710897,0,1710897,0
cam10,3,OB,0.990112847222222,1710915,0,1710915,0
cam10,3,OG,0.992208912037037,1714537,0,1714537,0
cam10,3,OP,0.990219328703704,1711099,0,1711099,0
cam10,3,PB,0.990966435185185,1712390,0,1712390,0
cam10,3,PG,0.990103587962963,1710899,0,1710899,0
cam10,3,PO,0.990225694444444,1711110,0,1711110,0
cam10,4,BG,0.931175347222222,1607121,1950,1609071,0.00121187940121971
cam10,4,BO,0.888993634259259,1535306,875,1536181,0.000569594338167182
cam10,4,GB,0.955891203703704,1630770,21010,1651780,0.0127196115705481
cam10,4,GP,0.928458333333333,1587621,16755,1604376,0.0104433125402025
cam10,4,OB,0.931097222222222,1597078,11858,1608936,0.00737008805819498
cam10,4,OG,0.917022569444444,1582546,2069,1584615,0.00130567992856309
cam10,4,OP,0.902603587962963,1559699,0,1559699,0
cam10,4,PB,0.919322337962963,1584895,3694,1588589,0.00232533399135963
cam10,4,PG,0.946649884259259,1626878,8933,1635811,0.00546089982277904
cam10,4,PO,0.901403356481482,1557625,0,1557625,0
cam9,1,BG,0.914941550925926,1551837,29182,1581019,0.018457716194429
cam9,1,BO,0.906543402777778,1537089,29418,1566507,0.0187793607050591
cam9,1,GB,0.943186342592593,1427664,202162,1629826,0.124039007845009
cam9,1,GP,0.912606481481481,1543300,33684,1576984,0.0213597601497542
cam9,1,OB,0.922813078703704,1519391,75230,1594621,0.0471773543682166
cam9,1,OG,0.952542824074074,1314257,331737,1645994,0.201542046933342
cam9,1,OP,0.919146412037037,1561171,27114,1588285,0.0170712435110827
cam9,1,PB,0.919780092592593,1563046,26334,1589380,0.0165687249116007
cam9,1,PG,0.906460069444444,1547236,19127,1566363,0.0122110902772857
cam9,1,PO,0.918047453703704,1562181,24205,1586386,0.0152579510913485
cam9,2,BG,0.901384837962963,1537853,19740,1557593,0.0126734005609938
cam9,2,BO,0.911494212962963,1537817,37245,1575062,0.0236466881938616
cam9,2,GB,0.89946412037037,1539847,14427,1554274,0.00928214716324149
cam9,2,GP,0.932956018518519,1545009,67139,1612148,0.0416456801732843
cam9,2,OB,0.94348900462963,1367365,262984,1630349,0.161305340144963
cam9,2,OG,0.903399305555556,1547867,13207,1561074,0.00846020111794828
cam9,2,OP,0.900525462962963,1543694,12414,1556108,0.00797759538541027
cam9,2,PB,0.90150462962963,1546114,11686,1557800,0.00750160482732058
cam9,2,PG,0.915124421296296,1516605,64730,1581335,0.0409337679871754
cam9,2,PO,0.904296296296296,1532833,29791,1562624,0.0190647270232634
cam9,3,BG,0.985685185185185,1703014,250,1703264,0.000146777011667011
cam9,3,BO,0.98845775462963,1494898,213157,1708055,0.124795161748304
cam9,3,GB,0.984965856481481,1702021,0,1702021,0
cam9,3,GP,0.98653587962963,1704734,0,1704734,0
cam9,3,OB,0.984416666666667,1700633,439,1701072,0.000258072556599603
cam9,3,OG,0.985914930555556,1703312,349,1703661,0.000204852960770952
cam9,3,OP,0.987023148148148,1699032,6544,1705576,0.00383682697223695
cam9,3,PB,0.987299189814815,1684258,21795,1706053,0.0127751013596881
cam9,3,PG,0.985644675925926,1703194,0,1703194,0
cam9,3,PO,0.985546875,1697866,5159,1703025,0.00302931548274394
cam9,4,BG,0.921755787037037,1554622,38172,1592794,0.0239654343248405
cam9,4,BO,0.923688657407407,1584423,11711,1596134,0.00733710327579013
cam9,4,GB,0.936099537037037,1607899,9681,1617580,0.0059848662817295
cam9,4,GP,0.915306712962963,1568913,12737,1581650,0.00805298264470648
cam9,4,OB,0.918761574074074,1567679,19941,1587620,0.0125603104017334
cam9,4,OG,0.929045138888889,1452510,152880,1605390,0.0952291966438062
cam9,4,OP,0.922951967592593,1585327,9534,1594861,0.00597795042953587
cam9,4,PB,0.950257523148148,1458814,183231,1642045,0.111587075871855
cam9,4,PG,0.915697916666667,1575142,7184,1582326,0.00454015165016564
cam9,4,PO,0.925865740740741,1494861,105035,1599896,0.0656511423242511
